case,family,noise_std,noise_seed,variant,run,status,touches,false_stop,quality_met,final_rmse,final_max_error,coverage_95,interval_width,motion_time,audit_touches,coverage_touches,optimizer_fallbacks,distance,time_averaged_rmse,repeat_fraction,compute_p95_seconds,wall_seconds,rmse_at_available_8,rmse_at_available_16,rmse_at_available_32,rmse_at_available_64,rmse_at_available_128
ellipse-validation-2,ellipse,0.005,52002,fixed-budget,ellipse-validation-2-n0-s52002-fixed-budget,budget_exhausted,128,False,True,0.004412681012020934,0.01518771944312447,0.965576171875,0.021236813545891905,294.20617843235505,0,0,0,202.49364959872523,0.0404534363508237,0.0,0.021871566899608296,4.573320325000168,0.03279431325699352,0.006522401879805709,0.0063731805012102885,0.005072874782582785,0.004412681012020934
ellipse-validation-2,ellipse,0.005,52002,learned-budget,ellipse-validation-2-n0-s52002-learned-budget,budget_exhausted,128,False,True,0.002764023012349434,0.00791256443722177,0.924072265625,0.01086819121694022,280.880011475404,0,0,0,191.04063180131195,0.04039938176520626,0.046875,0.02177788310073083,4.706407442999989,0.03279431325699352,0.006203017945423974,0.005995487786367346,0.00395859466132212,0.002764023012349434
ellipse-validation-2,ellipse,0.005,52002,learned-coverage,ellipse-validation-2-n0-s52002-learned-coverage,budget_exhausted,128,False,True,0.0028975057482085852,0.006671759418698464,0.9248046875,0.010840954726817304,290.7889102805149,0,24,0,200.1009335986696,0.04039938176520626,0.0546875,0.02540260524901896,4.489963499001533,0.03279431325699352,0.006203017945423974,0.006001403795376503,0.004070462675230522,0.0028975057482085852
ellipse-validation-2,ellipse,0.005,52002,uncertainty-stop,ellipse-validation-2-n0-s52002-uncertainty-stop,confident,28,False,True,0.006398918570339463,0.017470366832480377,0.888671875,0.022551835377288203,70.16071454722584,0,4,0,50.272684452768736,0.04039938176520626,0.0,0.02476179324967233,0.5039500530001533,0.03279431325699352,0.006203017945423974,0.006398918570339463,0.006398918570339463,0.006398918570339463
ellipse-validation-2,ellipse,0.005,52002,guarded-stop,ellipse-validation-2-n0-s52002-guarded-stop,confident,34,False,True,0.005899999918832087,0.017529243892588142,0.88037109375,0.019120642748012437,87.56797585914406,2,4,0,63.26191396933004,0.04039938176520626,0.0,0.02259880435040031,0.6972071910004161,0.03279431325699352,0.006203017945423974,0.006001403795376503,0.005899999918832087,0.005899999918832087
ellipse-validation-3,ellipse,0.005,52001,fixed-budget,ellipse-validation-3-n0-s52001-fixed-budget,budget_exhausted,128,False,True,0.004218908358148969,0.011796172357240176,0.981689453125,0.02106542772969894,284.4883531008621,0,0,0,194.60792766830943,0.03744455594948937,0.0,0.02139056265177714,4.187677994999831,0.02390764078423427,0.005392576898631185,0.003590341708494774,0.004367189896257119,0.004218908358148969
ellipse-validation-3,ellipse,0.005,52001,learned-budget,ellipse-validation-3-n0-s52001-learned-budget,budget_exhausted,128,False,True,0.0026684159025498074,0.00803830693454266,0.954345703125,0.010912128740892242,278.39666098536986,0,0,0,189.31143373013745,0.03721456440179413,0.015625,0.02195524365088204,4.23769571000048,0.02390764078423427,0.004143671003005199,0.002932039809578401,0.002878371190710235,0.0026684159025498074
ellipse-validation-3,ellipse,0.005,52001,learned-coverage,ellipse-validation-3-n0-s52001-learned-coverage,budget_exhausted,128,False,True,0.0027647569680787345,0.0068272494035526154,0.966552734375,0.010966465545224876,283.66769688260683,0,24,0,194.8216779935972,0.03728518391824301,0.015625,0.020603443599793537,3.8463172460014903,0.02390764078423427,0.004143671003005199,0.003327628614322257,0.003014274376702492,0.0027647569680787345
ellipse-validation-3,ellipse,0.005,52001,uncertainty-stop,ellipse-validation-3-n0-s52001-uncertainty-stop,confident,27,False,True,0.0037278741175234952,0.009974600815582213,0.983642578125,0.02325691336260151,69.07998641457304,0,3,0,50.22549360166928,0.03728518391824301,0.0,0.013554105499133584,0.35747367899966775,0.02390764078423427,0.004143671003005199,0.0037278741175234952,0.0037278741175234952,0.0037278741175234952
ellipse-validation-3,ellipse,0.005,52001,guarded-stop,ellipse-validation-3-n0-s52001-guarded-stop,confident,34,False,True,0.0032909395245385503,0.009891334351666003,0.98388671875,0.019491126352049293,86.32543238262906,2,4,0,62.53172642207805,0.03728518391824301,0.0,0.012531323099847214,0.46237110999936704,0.02390764078423427,0.004143671003005199,0.003327628614322257,0.0032909395245385503,0.0032909395245385503
